City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,badger,64.8,-147.5333,16.15,72,0,2.06,US,1722797046
1,kirakira,-10.4544,161.9205,26.0,87,100,5.23,SB,1722797547
2,waitangi,-43.9535,-176.5597,6.01,89,100,6.61,NZ,1722796967
3,bethel,41.3712,-73.414,29.0,74,40,3.6,US,1722796945
4,iqaluit,63.7506,-68.5145,5.85,93,100,2.06,CA,1722797550
5,chonchi,-42.6128,-73.8092,9.51,98,100,1.52,CL,1722797166
6,agat village,13.3886,144.6585,27.06,89,0,0.0,GU,1722797552
7,albany,42.6001,-73.9662,29.32,74,64,0.45,US,1722797036
8,isafjordur,66.0755,-23.124,12.02,71,40,8.23,IS,1722796986
9,la almunia de dona godina,41.4767,-1.3745,34.23,23,23,2.12,ES,1722797556
10,rancho palos verdes,33.7445,-118.387,30.98,74,20,3.6,US,1722797495
11,ushuaia,-54.8,-68.3,-0.19,59,75,3.09,AR,1722797018
12,yellowknife,62.456,-114.3525,22.45,57,40,2.06,CA,1722796960
13,san antonio de pale,-1.4014,5.6325,22.32,73,100,4.14,GQ,1722797518
14,levelland,33.5873,-102.378,33.99,28,0,4.65,US,1722797561
15,sanctuary point,-35.1114,150.629,9.07,84,100,2.0,AU,1722797562
16,puerto pilon,9.3644,-79.7933,29.32,70,61,2.55,PA,1722797563
17,jamestown,42.097,-79.2353,28.59,57,40,4.12,US,1722796899
18,aykhal,66.0,111.5,14.02,56,13,3.34,RU,1722797462
19,port-aux-francais,-49.35,70.2167,1.85,67,31,10.04,TF,1722796897
20,leulumoega,-13.823,-171.9613,21.94,94,40,1.54,WS,1722797570
21,blackmans bay,-43.0167,147.3167,8.18,76,85,0.45,AU,1722797571
22,west island,-12.1568,96.8225,25.99,83,40,5.66,CC,1722797058
23,grytviken,-54.2811,-36.5092,-1.64,96,100,3.93,GS,1722797573
24,bandar abbas,27.1865,56.2808,33.99,79,75,2.06,IR,1722797575
25,avarua,-21.2078,-159.775,23.03,73,13,3.09,CK,1722796945
26,margaret river,-33.95,115.0667,15.29,67,76,6.81,AU,1722797577
27,sinabang,2.4803,96.3801,26.32,83,100,1.45,ID,1722797123
28,thompson,55.7435,-97.8558,19.09,42,75,3.6,CA,1722797580
29,walvis bay,-22.9575,14.5053,13.94,68,1,8.73,NA,1722797581
30,bredasdorp,-34.5322,20.0403,6.87,71,26,3.74,ZA,1722797298
31,djamaa,33.5339,5.9931,35.48,14,0,3.05,DZ,1722797583
32,papatowai,-46.5619,169.4708,6.18,91,86,3.1,NZ,1722797585
33,tazovsky,67.4667,78.7,8.7,65,89,6.33,RU,1722797586
34,porto novo,6.4965,2.6036,25.9,77,100,3.45,BJ,1722797341
35,udachny,66.4167,112.4,14.87,54,16,3.49,RU,1722797024
36,constantia,44.1833,28.65,22.61,58,12,3.12,RO,1722797049
37,kyaikkami,16.08,97.5675,26.53,86,100,5.55,MM,1722797590
38,olyokminsk,60.3736,120.4264,15.37,98,100,2.91,RU,1722797591
39,prado,-17.3411,-39.2208,24.31,75,19,3.46,BR,1722797153
40,colonia,50.9333,6.95,21.02,69,0,1.54,DE,1722797076
41,ribeira grande,38.5167,-28.7,27.22,83,40,4.12,PT,1722796780
42,balabac,7.9868,117.0645,26.74,81,100,1.84,PH,1722797304
43,adamstown,-25.066,-130.1015,21.41,76,100,6.0,PN,1722796913
44,kerikeri,-35.2268,173.9474,9.95,89,96,2.24,NZ,1722797211
45,port mathurin,-19.6833,63.4167,22.11,74,13,6.57,MU,1722797599
46,aasiaat,68.7098,-52.8699,4.53,87,88,1.98,GL,1722797051
47,utrik,11.2278,169.8474,28.35,77,76,6.08,MH,1722797116
48,summerside,46.3959,-63.7876,27.48,89,100,5.14,CA,1722797602
49,college,64.8569,-147.8028,16.2,72,20,2.06,US,1722797064
50,punta arenas,-53.15,-70.9167,2.06,80,75,2.57,CL,1722796928
51,port alfred,-33.5906,26.891,12.88,68,100,3.13,ZA,1722797606
52,letterkenny,54.95,-7.7333,18.94,98,100,4.32,IE,1722797437
53,byron bay,-28.65,153.6167,11.51,86,100,2.85,AU,1722797044
54,port elizabeth,-33.918,25.5701,12.28,71,20,10.8,ZA,1722797293
55,machico,32.7,-16.7667,25.95,69,20,6.69,PT,1722797610
56,victorica,-36.2151,-65.4359,20.28,28,77,10.0,AR,1722797611
57,kingston,17.997,-76.7936,33.53,66,20,9.77,JM,1722797450
58,invercargill,-46.4,168.35,3.9,93,87,1.34,NZ,1722797034
59,vila velha,-20.3297,-40.2925,21.97,94,75,2.57,BR,1722797426
60,puerto natales,-51.7236,-72.4875,1.25,93,75,1.03,CL,1722797615
61,ilulissat,69.2167,-51.1,5.01,93,25,2.06,GL,1722797065
62,atafu village,-8.5421,-172.5159,27.74,80,62,6.38,TK,1722797042
63,san patricio,28.017,-97.5169,34.05,40,2,3.29,US,1722796943
64,edinburgh of the seven seas,-37.0676,-12.3116,13.16,82,43,13.57,SH,1722797620
65,hithadhoo,-0.6,73.0833,28.69,75,100,4.92,MV,1722797097
66,kodiak,57.79,-152.4072,11.73,94,100,4.63,US,1722797056
67,hermanus,-34.4187,19.2345,8.22,58,98,5.31,ZA,1722797074
68,afaahiti,-17.75,-149.2833,25.93,72,79,4.95,PF,1722797624
69,pisco,-13.7,-76.2167,17.03,82,100,2.57,PE,1722797625
70,faya-largeau,17.9257,19.1043,33.95,44,86,2.53,TD,1722797515
71,baotou,40.6522,109.8222,22.21,45,0,0.86,CN,1722797628
72,saint-joseph,-21.3667,55.6167,17.21,77,19,3.58,RE,1722797629
73,qaqortoq,60.7167,-46.0333,8.74,71,0,3.3,GL,1722797144
74,fort st. john,56.2499,-120.8529,12.94,76,100,6.69,CA,1722797470
75,kiruna,67.8557,20.2251,18.51,55,100,2.57,SE,1722797632
76,ulladulla,-35.35,150.4667,7.09,79,100,2.09,AU,1722797633
77,wailua homesteads,22.0669,-159.378,25.44,82,75,7.2,US,1722797187
78,broken hill,-31.95,141.4333,9.11,81,100,2.49,AU,1722797635
79,laiyang,36.9758,120.7136,26.16,96,100,1.57,CN,1722797636
80,georgetown,5.4112,100.3354,27.96,83,20,2.06,MY,1722797136
81,ca mau,9.1769,105.15,25.45,90,100,1.4,VN,1722797639
82,lorengau,-2.0226,147.2712,26.54,81,100,2.92,PG,1722797640
83,kidal,18.4411,1.4078,33.96,34,100,4.1,ML,1722797168
84,souillac,-20.5167,57.5167,19.21,82,40,1.54,MU,1722797161
85,ola,59.5833,151.2833,11.57,90,15,0.77,RU,1722797205
86,lebu,-37.6167,-73.65,10.52,90,100,11.15,CL,1722797140
87,celestun,20.8667,-90.4,29.33,68,69,4.58,MX,1722797645
88,nadym,65.5333,72.5167,15.59,69,100,8.62,RU,1722797551
89,klaksvik,62.2266,-6.589,11.51,98,100,14.35,FO,1722797647
90,tindouf,27.6711,-8.1474,45.25,6,0,5.14,DZ,1722797648
91,mweka,-4.85,21.5667,25.91,29,91,0.53,CD,1722797650
92,nouadhibou,20.931,-17.0347,27.99,69,3,4.63,MR,1722797651
93,susuman,62.7833,148.1667,9.15,62,19,1.11,RU,1722797652
94,holualoa,19.6228,-155.9522,23.08,90,100,0.0,US,1722797653
95,puerto leguizamo,-0.1934,-74.7819,32.73,47,81,2.02,CO,1722797654
96,tiksi,71.6872,128.8694,10.25,63,100,3.24,RU,1722797137
97,kokopo,-4.352,152.2633,24.42,88,100,3.5,PG,1722797656
98,saint-philippe,-21.3585,55.7679,17.77,77,41,3.48,RE,1722797480
99,nha trang,12.25,109.1833,27.0,86,84,2.36,VN,1722797658
100,porto belo,-27.1578,-48.5531,23.94,92,18,6.52,BR,1722797659
101,mount gambier,-37.8333,140.7667,4.38,85,100,1.89,AU,1722797403
102,papao,-17.75,-149.55,26.82,69,46,5.56,PF,1722797425
103,bilibino,68.0546,166.4372,6.49,72,70,1.36,RU,1722797077
104,minusinsk,53.7103,91.6875,19.01,83,15,3.13,RU,1722797664
105,moree,-29.4667,149.85,9.98,66,100,4.17,AU,1722797665
106,anadyr,64.75,177.4833,4.28,93,100,9.0,RU,1722797666
107,san luis de la loma,17.2706,-100.8939,30.89,62,75,4.11,MX,1722797510
108,st. john's,47.5649,-52.7093,23.66,89,100,6.17,CA,1722797117
109,flying fish cove,-10.4217,105.6791,24.82,88,100,4.12,CX,1722797516
110,opuwo,-18.0607,13.84,20.36,30,0,2.83,NA,1722797485
111,kapuskasing,49.4169,-82.4331,19.05,48,75,6.17,CA,1722797448
112,touba,8.2833,-7.6833,22.73,89,100,0.42,CI,1722797673
113,wainwright,52.839,-110.8572,24.37,43,70,5.06,CA,1722797674
114,alotau,-10.3069,150.4462,22.47,97,100,2.35,PG,1722797675
115,torchiarolo,40.4842,18.0525,29.11,58,24,3.6,IT,1722797676
116,awjilah,29.1081,21.2869,32.85,20,0,3.46,LY,1722797679
117,kulhudhuffushi,6.6221,73.07,27.94,77,100,4.02,MV,1722797681
118,hamilton,39.1834,-84.5333,33.27,55,20,2.57,US,1722797127
119,upington,-28.4478,21.2561,9.31,74,100,6.01,ZA,1722797441
120,kaya,13.0917,-1.0844,25.48,76,100,3.27,BF,1722797684
121,vernon,50.2581,-119.2691,31.83,34,100,1.54,CA,1722797686
122,urengoy,65.9667,78.3667,14.32,63,100,7.66,RU,1722797687
123,howrah,22.5892,88.3103,28.0,94,75,3.09,IN,1722797688
124,mahibadhoo,3.7833,72.9667,28.59,72,100,2.35,MV,1722797690
125,campo formoso,-10.5075,-40.3214,28.11,29,0,6.52,BR,1722797691
126,olonkinbyen,70.9221,-8.7187,6.17,96,100,3.33,SJ,1722797692
127,oswego,43.4501,-76.1497,31.47,77,6,4.24,US,1722797693
128,ust'-ilimsk,58.0006,102.6619,11.45,89,6,0.42,RU,1722797694
129,aberdeen,57.1437,-2.0981,16.27,76,100,8.23,GB,1722797295
130,siwa oasis,29.2041,25.5195,33.68,19,5,3.2,EG,1722797148
131,moyynkum,44.2914,72.9469,27.6,30,0,3.53,KZ,1722797697
132,remire-montjoly,4.9167,-52.2667,31.02,70,75,3.09,GF,1722797386
133,klyuchi,52.2667,79.1667,18.98,77,100,1.77,RU,1722797699
134,ocean city,39.2776,-74.5746,28.9,73,100,5.27,US,1722797587
135,puerto ayora,-0.7393,-90.3518,24.98,86,80,2.68,EC,1722797702
136,ponta delgada,37.7333,-25.6667,25.4,83,75,4.12,PT,1722797703
137,praia da vitoria,38.7333,-27.0667,27.64,74,40,3.82,PT,1722797264
138,padang,-0.9492,100.3543,26.03,91,43,1.91,ID,1722797536
139,ingeniero jacobacci,-41.3427,-69.5448,8.26,45,94,8.41,AR,1722797706
140,newcastle,-32.9272,151.7765,10.92,89,100,0.0,AU,1722797683
141,mangrol,21.1167,70.1167,27.51,88,100,8.53,IN,1722797709
142,shakawe,-18.3667,21.85,18.87,11,0,1.31,BW,1722797710
143,khandyga,62.6667,135.6,9.67,71,95,1.87,RU,1722797711
144,fortuna,40.5982,-124.1573,15.55,95,100,0.0,US,1722797511
145,vilyuchinsk,52.9306,158.4028,9.15,83,4,0.83,RU,1722797713
146,empalme,27.9667,-110.8167,33.66,57,99,5.93,MX,1722797714
147,kourou,5.1552,-52.6478,31.03,73,100,5.09,GF,1722797715
148,aral,40.5156,81.2636,27.54,36,88,2.78,CN,1722797716
149,urangan,-25.3,152.9,16.96,71,23,2.73,AU,1722797718
150,talnakh,69.4865,88.3972,8.57,70,0,5.64,RU,1722797433
151,petropavlovsk-kamchatsky,53.0452,158.6483,8.33,100,20,2.0,RU,1722797490
152,garachico,28.7781,-17.7646,22.06,73,40,5.66,ES,1722797721
153,vadso,70.0744,29.7487,13.49,93,75,6.69,NO,1722797722
154,terrace,54.5163,-128.6035,24.01,37,20,5.14,CA,1722797723
