,City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
165,165,chinna salem,11.65,78.9,29.83,61,97,1.86,IN,1722797736
202,202,la seu d'urgell,42.3588,1.4614,29.56,26,20,3.6,ES,1722797780
213,213,ormond-by-the-sea,29.3491,-81.0665,30.03,87,75,5.66,US,1722797794
256,256,huangmei,30.1924,116.025,29.51,76,6,1.14,CN,1722797847
280,280,al jawf,29.5,38.75,30.21,16,5,3.52,SA,1722797874
315,315,vega de alatorre,20.0333,-96.6333,29.66,65,0,3.84,MX,1722797916
364,364,roses,42.262,3.1769,29.62,67,0,2.76,ES,1722797973
367,367,sunam,30.1333,75.8,29.71,68,7,2.2,IN,1722797977
407,407,watertown,42.3709,-71.1828,30.23,66,100,3.13,US,1722797824
459,459,plymouth,41.8334,-70.8328,29.82,75,87,0.89,US,1722798081
494,494,gao,16.6362,1.637,29.87,57,100,3.49,ML,1722798121
524,524,inirida,3.8653,-67.9239,29.83,62,100,1.6,CO,1722798156
541,541,santa isabel,-23.3156,-46.2214,29.61,29,20,2.88,BR,1722798176
